rank,coarse_absolute_residual_mw,granular_absolute_residual_mw,exceedance_share
325,4.498915933829041,4.142443226391106,0.009249772313296904
326,4.495799933829042,4.1344272263911055,0.00927823315118397
327,4.495619933829041,4.134225382983125,0.009306693989071038
328,4.494475933829041,4.12864938298313,0.009335154826958106
329,4.494335933829041,4.125911226391105,0.009363615664845172
330,4.493711933829042,4.125335163826233,0.00939207650273224
331,4.4926799338290415,4.122144548933517,0.009420537340619308
332,4.4903919338290414,4.112467163826234,0.009448998178506375
333,4.486355933829041,4.107043226391106,0.009477459016393443
334,4.4853159338290425,4.105163163826234,0.00950591985428051
335,4.484139933829043,4.104904548933518,0.009534380692167577
336,4.481011933829041,4.102203226391104,0.009562841530054645
337,4.47795593382904,4.098815226391107,0.009591302367941713
338,4.473839933829042,4.098167226391107,0.00961976320582878
339,4.473295933829043,4.097659226391106,0.009648224043715847
340,4.472991933829042,4.095459226391108,0.009676684881602914
341,4.471003933829041,4.092623226391106,0.009705145719489982
342,4.470959933829043,4.091631226391106,0.00973360655737705
343,4.470791933829041,4.091439226391105,0.009762067395264116
344,4.46899593382904,4.087427163826232,0.009790528233151184
345,4.4678799338290425,4.0872152263911055,0.009818989071038252
346,4.463395933829041,4.082603226391106,0.009847449908925318
347,4.459731933829042,4.082295226391105,0.009875910746812386
348,4.45961593382904,4.0822592263911055,0.009904371584699454
349,4.459199933829041,4.0793325945724535,0.00993283242258652
350,4.4583799338290415,4.078008594572451,0.009961293260473588
351,4.455487933829042,4.068747226391107,0.009989754098360656
352,4.453807933829044,4.0685751638262335,0.010018214936247723
353,4.448543933829042,4.067859163826236,0.01004667577413479
354,4.447223933829042,4.062583226391106,0.010075136612021859
355,4.446727933829042,4.062140548933519,0.010103597449908925
356,4.444907933829041,4.059727163826235,0.010132058287795993
357,4.440495933829043,4.05768454893352,0.01016051912568306
358,4.43761593382904,4.0540805945724525,0.010188979963570127
359,4.433171933829042,4.053839163826234,0.010217440801457195
360,4.432319933829042,4.053059226391105,0.010245901639344262
361,4.429867933829042,4.051092548933517,0.01027436247723133
362,4.429323933829041,4.048891163826232,0.010302823315118398
363,4.427975933829041,4.0476752263911076,0.010331284153005464
364,4.427067933829042,4.043083226391105,0.010359744990892532
365,4.426383933829041,4.042283226391104,0.0103882058287796
366,4.424475933829042,4.041431226391105,0.010416666666666666
367,4.423355933829042,4.041227226391106,0.010445127504553734
368,4.421107933829042,4.040035226391104,0.010473588342440802
369,4.418447933829041,4.039603226391104,0.010502049180327868
370,4.418223933829042,4.036375163826234,0.010530510018214936
371,4.417983933829041,4.032711226391106,0.010558970856102004
372,4.416495933829042,4.028779226391106,0.01058743169398907
373,4.413619933829041,4.024483226391106,0.010615892531876139
374,4.412343933829041,4.021915163826232,0.010644353369763207
375,4.409743933829041,4.0217032263911054,0.010672814207650273
376,4.409431933829041,4.018943163826233,0.010701275045537341
377,4.407271933829042,4.018676594572452,0.010729735883424407
378,4.406615933829042,4.013864548933518,0.010758196721311475
379,4.404595933829041,4.01306454893352,0.010786657559198543
380,4.398599933829042,4.010303226391105,0.01081511839708561
381,4.397379933829042,4.004847226391105,0.010843579234972677
382,4.396359933829042,4.000513382983127,0.010872040072859745
383,4.392363933829041,3.9986933829831273,0.010900500910746812
384,4.392135933829042,3.997248594572451,0.01092896174863388
385,4.390083933829041,3.9918253829831265,0.010957422586520948
386,4.3889919338290415,3.9899085489335184,0.010985883424408014
387,4.387171933829042,3.988605382983128,0.011014344262295082
388,4.385251933829043,3.988592548933517,0.01104280510018215
389,4.383571933829044,3.9870632263911054,0.011071265938069216
390,4.3824159338290425,3.9853832263911055,0.011099726775956284
391,4.381995933829042,3.9790085489335185,0.011128187613843352
392,4.381055933829041,3.977719226391107,0.011156648451730419
393,4.380315933829041,3.9775432263911057,0.011185109289617487
394,4.379615933829044,3.9733392263911056,0.011213570127504553
395,4.379255933829041,3.9690133829831264,0.011242030965391621
396,4.371767933829044,3.9638325945724526,0.011270491803278689
397,4.371215933829042,3.9623352263911062,0.011298952641165755
398,4.3702679338290435,3.9609965489335184,0.011327413479052823
399,4.368199933829043,3.960155163826234,0.011355874316939891
400,4.36637593382904,3.9595672263911066,0.011384335154826957
401,4.363931933829042,3.9594693829831247,0.011412795992714025
402,4.363815933829041,3.9581432263911047,0.011441256830601093
403,4.36356793382904,3.957781382983128,0.01146971766848816
404,4.362987933829043,3.9562311638262337,0.011498178506375228
405,4.362339933829043,3.9542232263911057,0.011526639344262296
406,4.361831933829041,3.952345382983127,0.011555100182149362
407,4.359631933829043,3.9523232263911066,0.01158356102003643
408,4.358891933829041,3.9405512263911056,0.011612021857923498
409,4.356831933829042,3.9364432263911056,0.011640482695810564
410,4.3567959338290425,3.9353551638262334,0.011668943533697632
411,4.355803933829042,3.934899163826232,0.0116974043715847
412,4.355611933829042,3.931876594572451,0.011725865209471767
413,4.354135933829042,3.9303711638262335,0.011754326047358835
414,4.3513879338290415,3.930351226391107,0.0117827868852459
415,4.350891933829043,3.9278805945724513,0.011811247723132969
416,4.3496279338290424,3.92570454893352,0.011839708561020037
417,4.348127933829042,3.9251072263911055,0.011868169398907103
418,4.346775933829042,3.924007226391104,0.011896630236794171
419,4.346467933829041,3.9228352263911055,0.01192509107468124
420,4.346431933829042,3.9211192263911054,0.011953551912568305
421,4.345875933829042,3.918500594572451,0.011982012750455373
422,4.345571933829041,3.9170271638262335,0.012010473588342441
423,4.337815933829042,3.914463226391104,0.012038934426229508
424,4.333823933829041,3.914255226391107,0.012067395264116576
425,4.332919933829043,3.9107031638262337,0.012095856102003644
426,4.33076393382904,3.9077352263911056,0.01212431693989071
427,4.326755933829042,3.9061085945724527,0.012152777777777778
428,4.323255933829041,3.8949512263911057,0.012181238615664846
429,4.321051933829043,3.8940871638262338,0.012209699453551912
430,4.317231933829041,3.8929991638262336,0.01223816029143898
431,4.316595933829044,3.8923432263911057,0.012266621129326047
432,4.311847933829044,3.8902573829831266,0.012295081967213115
433,4.310119933829043,3.8901173829831266,0.012323542805100183
434,4.310003933829041,3.8898373829831265,0.012352003642987249
435,4.308135933829041,3.8891373829831264,0.012380464480874317
436,4.307255933829041,3.8887173829831263,0.012408925318761385
437,4.30645593382904,3.8870272263911065,0.012437386156648451
438,4.305603933829041,3.8868605945724513,0.012465846994535519
439,4.305399933829041,3.8846792263911056,0.012494307832422587
440,4.304207933829041,3.8845672263911055,0.012522768670309653
441,4.303775933829041,3.8842392263911054,0.012551229508196721
442,4.301671933829043,3.8819973829831262,0.01257969034608379
443,4.300651933829041,3.8814373829831266,0.012608151183970856
444,4.3002359338290415,3.8802751638262336,0.012636612021857924
445,4.296883933829042,3.8800125489335184,0.012665072859744992
446,4.293227933829042,3.8794431638262337,0.012693533697632058
447,4.292951933829041,3.8784191638262326,0.012721994535519126
448,4.292735933829041,3.8782173829831272,0.012750455373406194
449,4.288655933829042,3.877657382983127,0.01277891621129326
450,4.2858759338290415,3.875380594572453,0.012807377049180328
451,4.285587933829041,3.8752685489335184,0.012835837887067394
452,4.284695933829044,3.8735973829831263,0.012864298724954462
453,4.278879933829042,3.8733173829831262,0.01289275956284153
454,4.2769159338290414,3.8726832263911057,0.012921220400728597
455,4.2744759338290415,3.8717232263911057,0.012949681238615665
456,4.274195933829043,3.869803226391104,0.012978142076502733
457,4.272775933829042,3.8690752263911055,0.013006602914389799
458,4.272515933829043,3.8682773829831265,0.013035063752276867
459,4.271975933829044,3.8681373829831247,0.013063524590163935
460,4.269019933829041,3.8665271638262335,0.013091985428051001
461,4.25198793382904,3.8659672263911062,0.01312044626593807
462,4.251235933829042,3.8634805945724513,0.013148907103825137
463,4.250307933829042,3.862817382983128,0.013177367941712204
464,4.249555933829042,3.861953382983128,0.013205828779599272
465,4.248819933829042,3.85986454893352,0.01323428961748634
466,4.247503933829041,3.8592152263911057,0.013262750455373406
467,4.246895933829043,3.855244594572451,0.013291211293260474
468,4.24494393382904,3.8549911638262335,0.01331967213114754
469,4.241891933829043,3.8532725489335182,0.013348132969034608
470,4.241715933829042,3.8515791638262336,0.013376593806921676
471,4.238611933829043,3.8510205945724527,0.013405054644808742
472,4.237919933829042,3.8505632263911056,0.01343351548269581
473,4.237511933829041,3.847203226391106,0.013461976320582878
474,4.235831933829042,3.8463231638262343,0.013490437158469945
475,4.227075933829042,3.8459952263911057,0.013518897996357013
476,4.226507933829042,3.8456071638262337,0.01354735883424408
477,4.223847933829042,3.8452272263911063,0.013575819672131147
478,4.223739933829044,3.8451232263911055,0.013604280510018215
479,4.2233759338290415,3.8447192263911063,0.013632741347905283
480,4.223271933829041,3.843941382983127,0.01366120218579235
481,4.222315933829041,3.8435951638262336,0.013689663023679417
482,4.219907933829042,3.8426573829831265,0.013718123861566485
483,4.218395933829042,3.8410013829831264,0.013746584699453552
484,4.217771933829042,3.8387133829831264,0.01377504553734062
485,4.2164959338290435,3.838140594572452,0.013803506375227686
486,4.215143933829042,3.8380951638262335,0.013831967213114754
